"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3372","[WEB] Sign up with valid data. Case: 'last_name' length = min","tests.web.component.auth","2026-07-20","passed","2026-07-20","TestSignUpWeb","test_signup_component","",""
"","502","[WEB] Should add product review with valid data. Case: 'email' username contains '-'","tests.web.component.review","2026-07-20","passed","2026-07-20","TestReviewComponent","test_review_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_month' is zero","tests.api.user","2026-07-20","skipped","2026-07-20","TestUpdateUserApi","test_update_user","",""
"","0","[API] Create user should return 400_BAD_REQUEST when send create user request with invalid data. Case: 'email' contains multiple '@' symbols","tests.api.user","2026-07-20","skipped","2026-07-20","TestCreateUserApi","test_create_user","",""
"","0","[WEB Component] Pay with invalid card should show error message. Case: expiry year only spaces","tests.web.component.payment","2026-07-20","skipped","2026-07-20","TestPaymentComponent","test_payment_component","",""
"","134","[API] Create user should return 200_OK when send create user request with valid data. Case: 'city' length = min","tests.api.user","2026-07-20","passed","2026-07-20","TestCreateUserApi","test_create_user","",""
"","0","[WEB] Sign up with invalid data. Case: 'name' length = min","tests.web.component.auth","2026-07-20","skipped","2026-07-20","TestSignUpWeb","test_signup_component","",""
"","131","[API] Delete user should return 200_OK when send delete user request and user exists","tests.api.user","2026-07-20","passed","2026-07-20","TestDeleteUserApi","test_delete_user","",""
"","153","[API] Update user should return 404_BAD_REQUEST when send update user request with not existing email","tests.api.user","2026-07-20","passed","2026-07-20","TestUpdateUserApi","test_update_user","",""
"","304","[API] Update user should return 200_OK when send update user request with valid data. Case: 'company' length = min","tests.api.user","2026-07-20","passed","2026-07-20","TestUpdateUserApi","test_update_user","",""
"","498","[WEB] Should add product review with valid data. Case: 'email' domain contains '-'","tests.web.component.review","2026-07-20","passed","2026-07-20","TestReviewComponent","test_review_component","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'email' not contains username","tests.api.user","2026-07-20","skipped","2026-07-20","TestUpdateUserApi","test_update_user","",""
"","133","[API] Create user should return 200_OK when send create user request with valid data. Case: 'state' length = min","tests.api.user","2026-07-20","passed","2026-07-20","TestCreateUserApi","test_create_user","",""
"","196","[API] Update user should return 200_OK when send update user request with valid data. Case: 'birth_month' = 12","tests.api.user","2026-07-20","passed","2026-07-20","TestUpdateUserApi","test_update_user","",""
"","233","[API] Update user should return 200_OK when send update user request with valid data. Case: 'state' length = max","tests.api.user","2026-07-20","passed","2026-07-20","TestUpdateUserApi","test_update_user","",""
