"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'zipcode' length = min - 1","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'address2' length = max + 1","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'name' length = min - 1","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_year' is negative","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","185","[API] Update user should return 200_OK when send update user request with valid data. Case: 'city' length = max","tests.api.user","Sat May 23 18:45:21 UTC 2026","passed","Sat May 23 18:45:21 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","363","[API] Update user should return 200_OK when send update user request with valid data. Case: 'name' length = min","tests.api.user","Sat May 23 18:45:08 UTC 2026","passed","Sat May 23 18:45:08 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'email' not contains domain","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'address1' is empty","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_month' is invalid positive","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","224","[API] Update user should return 200_OK when send update user request with valid data. Case: 'address2' length = min","tests.api.user","Sat May 23 18:45:24 UTC 2026","passed","Sat May 23 18:45:25 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_year' is invalid positive","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'last_name' length = max + 1","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'name' length = max + 1","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","210","[API] Update user should return 200_OK when send update user request with valid data. Case: 'last_name' length = min","tests.api.user","Sat May 23 18:45:13 UTC 2026","passed","Sat May 23 18:45:13 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'state' length = max + 1","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'name' is absent","tests.api.user","Sat May 23 18:45:30 UTC 2026","skipped","Sat May 23 18:45:30 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'email' contains text before username","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","598","[API] Update user should return 200_OK when send update user request with valid data. Case: 'last_name' length = max - 1","tests.api.user","Sat May 23 18:45:15 UTC 2026","passed","Sat May 23 18:45:15 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'birth_day' is negative","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","239","[API] Update user should return 200_OK when send update user request with valid data. Case: 'mobile_number' length = max - 1","tests.api.user","Sat May 23 18:45:07 UTC 2026","passed","Sat May 23 18:45:08 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","215","[API] Update user should return 200_OK when send update user request with valid data. Case: 'city' length = max - 1","tests.api.user","Sat May 23 18:45:20 UTC 2026","passed","Sat May 23 18:45:21 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'zipcode' is absent","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","209","[API] Update user should return 200_OK when send update user request with valid data. Case: 'address1' length = max - 1","tests.api.user","Sat May 23 18:45:23 UTC 2026","passed","Sat May 23 18:45:23 UTC 2026","TestUpdateUserApi","test_update_user","",""
"","0","[API] Update user should return 400_BAD_REQUEST when send update user request with invalid data. Case: 'mobile_number' is absent","tests.api.user","Sat May 23 18:45:18 UTC 2026","skipped","Sat May 23 18:45:18 UTC 2026","TestUpdateUserApi","test_update_user","",""
